date_taken	date_analyzed	idx	resize_factor	x	y	scale	length1	area1	mean1	sd1	bgr1	bgr_sd1
2018-01-12 14:34:34	2018-11-12 20:19:17	1	1	1501	2550	94.4	458	38882	122	20	(69, 116, 155)	(22, 20, 19)
2018-01-12 14:34:34	2018-11-12 20:19:17	2	1	2040	2515	94.4	419	39577	106	27	(56, 98, 140)	(31, 29, 25)
2018-01-12 14:34:34	2018-11-12 20:19:17	3	1	932	2492	94.4	404	36560	107	28	(64, 102, 134)	(32, 29, 25)
2018-01-12 14:34:34	2018-11-12 20:19:17	4	1	281	2490	94.4	450	44547	104	27	(53, 97, 137)	(33, 27, 24)
2018-01-12 14:34:34	2018-11-12 20:19:17	5	1	2357	1682	94.4	608	99806	82	35	(35, 72, 122)	(38, 38, 31)
2018-01-12 14:34:34	2018-11-12 20:19:17	6	1	1824	1629	94.4	589	81977	84	35	(42, 77, 113)	(40, 37, 31)
2018-01-12 14:34:34	2018-11-12 20:19:17	7	1	876	1538	94.4	428	46197	103	25	(56, 96, 135)	(31, 26, 23)
2018-01-12 14:34:34	2018-11-12 20:19:17	8	1	1300	1553	94.4	544	68135	104	28	(62, 98, 133)	(33, 29, 26)
2018-01-12 14:34:34	2018-11-12 20:19:17	9	1	369	1492	94.4	552	75196	101	28	(55, 92, 136)	(34, 29, 24)
2018-01-12 14:34:34	2018-11-12 20:19:17	10	1	2403	780	94.4	468	59433	87	32	(37, 78, 124)	(39, 34, 27)
2018-01-12 14:34:34	2018-11-12 20:19:17	11	1	766	717	94.4	544	73803	105	26	(52, 96, 142)	(32, 27, 24)
2018-01-12 14:34:34	2018-11-12 20:19:17	12	1	1294	722	94.4	618	89208	75	44	(41, 67, 105)	(47, 46, 39)
2018-01-12 14:34:34	2018-11-12 20:19:17	13	1	161	694	94.4	610	80553	102	26	(43, 94, 142)	(35, 27, 22)
2018-01-12 14:34:34	2018-11-12 20:19:17	14	1	1842	652	94.4	542	78450	91	31	(35, 80, 135)	(40, 34, 24)
