date_taken	date_analyzed	idx	resize_factor	x	y	scale	length1	area1	mean1	sd1	bgr1	bgr_sd1
2018-05-25 16:00:27	2018-12-08 10:01:51	1	1	1066	1703	13.7	124	4783	90	32	(43, 91, 106)	(30, 35, 28)
2018-05-25 16:00:27	2018-12-08 10:01:51	2	1	1721	1585	13.7	88	1668	114	28	(33, 116, 140)	(25, 31, 25)
2018-05-25 16:00:27	2018-12-08 10:01:51	3	1	548	1562	13.7	98	3182	79	34	(43, 82, 87)	(34, 37, 30)
2018-05-25 16:00:27	2018-12-08 10:01:51	4	1	2534	1458	13.7	96	3411	83	32	(46, 87, 90)	(33, 35, 29)
2018-05-25 16:00:27	2018-12-08 10:01:51	5	1	1977	1375	13.7	102	3204	106	32	(64, 110, 114)	(32, 34, 29)
2018-05-25 16:00:27	2018-12-08 10:01:51	6	1	1592	1348	13.7	101	3167	87	33	(45, 89, 99)	(31, 35, 30)
2018-05-25 16:00:27	2018-12-08 10:01:51	7	1	525	1280	13.7	106	2285	110	27	(46, 114, 128)	(25, 30, 24)
2018-05-25 16:00:27	2018-12-08 10:01:51	8	1	1210	1215	13.7	100	3085	64	38	(41, 65, 69)	(37, 41, 34)
2018-05-25 16:00:27	2018-12-08 10:01:51	9	1	1620	1107	13.7	90	1435	112	25	(33, 112, 141)	(22, 29, 22)
2018-05-25 16:00:27	2018-12-08 10:01:51	10	1	2589	1077	13.7	99	3109	92	30	(55, 96, 97)	(32, 32, 27)
2018-05-25 16:00:27	2018-12-08 10:01:51	11	1	2057	993	13.7	162	5093	102	34	(61, 106, 111)	(32, 36, 30)
2018-05-25 16:00:27	2018-12-08 10:01:51	12	1	966	480	13.7	101	2919	92	37	(47, 93, 105)	(30, 41, 36)
2018-05-25 16:00:27	2018-12-08 10:01:51	13	1	1242	478	13.7	82	2039	108	30	(57, 113, 120)	(28, 32, 26)
